Accessible Room,1
Suite,3
Executive/Club Suite,6
Apartment,13
Penthouse,15
Studio Suite,16
Family Room/Suite,36
Cabin,38
Bungalow,44
Villa,45
Junior Suite,60
Run of the House,62
Large/Master Suite,63
Executive/Club Room,74
Classic Room,75
Comfort Room,76
Deluxe Room,77
Deluxe Suite,78
Economy Room,79
Luxury Suite,80
Premier Room,81
Standard Guest Room,82
Superior Room,83
Superior Suite,801
Grand Room,802
Premier Suite,803
Luxury Room,804
Classic Suite,805
Presidential Suite,806
Single Room,807
Twin Room,808
Double Room,809
Triple Room,810
Quadruple Room,811
King Room,812
Queen Room,813